year	quarter	DebtAbility	OperAbility	DevelopAbility	EarningAbility	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	4.254941	-3.615463	2.122765	0.24467631	2.53	8.28	5.22	14.30920461
2005	2	85.252022	-1.8559151	-0.9793056	-0.02569284	2.43	8.28	5.22	14.8707352
2005	3	-5.012525	-0.6430134	3.3610025	-0.1501595	2.1	8.13	5.22	17.19476822
2005	4	-916.44266	1.3547809	4.8670858	-0.33179208	1.83	8.07	5.22	18.09123087
2006	1	18.309291	-2.944292	2.9666162	0.15244093	1.5	8.05	5.22	17.51718278
2006	2	27.81809	-0.7042963	13.3194353	-0.06429393	1.23	8.01	5.4	17.38256767
2006	3	25.921717	1.863126	2.9863136	-0.10670271	1.23	7.96	5.52	16.32614112
2006	4	27.228134	2.9535054	13.1686887	-0.24178566	1.37	7.86	5.58	15.60622221
2007	1	18.121891	-3.9026944	2.9056934	0.15742772	2.43	7.76	5.61	16.94836817
2007	2	22.047748	-2.3186381	19.1272229	0.06655224	2.97	7.68	5.79	16.96535471
2007	3	23.521022	-0.7531212	3.8124268	-0.04704167	3.83	7.56	6.24	18.34050682
2007	4	25.068629	0.8443714	4.3959125	-0.23150185	4.6	7.43	6.51	17.87054535
2008	1	18.456278	-3.6302701	2.6966193	0.16747883	7.67	7.16	6.57	17.47019444
2008	2	22.321456	-1.7633199	-1.5118899	0.03815661	8.07	6.96	6.57	17.38303282
2008	3	21.82039	-0.200238	3.6885618	-0.06572515	7.33	6.84	6.45	15.79803171
2008	4	25.609471	0.6940923	5.3809191	-0.08597707	6.3	6.84	5.31	15.83323959
2009	1	17.661154	-3.675809	2.9301714	0.16632865	0.03	6.84	4.86	21.51701359
2009	2	20.071152	-2.5086673	5.7087859	0.14155765	-0.93	6.83	4.86	26.66699371
2009	3	24.420993	-1.6783022	3.2846768	0.09046243	-1.17	6.83	4.86	28.71429551
2009	4	36.670362	1.9717819	48.414004	-0.08946179	-0.9	6.83	4.86	29.1668298
2010	1	17.944548	-3.2755938	2.9503615	0.14929874	1.93	6.83	4.86	24.66034388
2010	2	20.306932	-1.8522264	6.6546084	0.07975175	2.5	6.82	4.86	20.27998732
2010	3	19.204233	-0.8917336	2.6802161	0.08656655	2.8	6.77	4.86	18.60427965
2010	4	23.9584	2.8836605	-16.9045025	-0.14571172	3.17	6.65	5.183333	19.22971745
2011	1	16.076987	-3.5657958	2.8251894	0.18046146	4.93	6.58	5.516667	16.55746923
2011	2	19.336624	-1.8448188	-1.5568433	0.11166391	5.23	6.5	5.85	15.43661454
2011	3	17.90733	-0.1721457	2.5189325	0.1181765	5.6	6.42	6.1	13.7584146
2011	4	23.391656	5.0808003	-14.8116171	-0.17217138	5.5	6.36	6.1	16.75804914
2012	1	16.617933	-3.5391034	2.796707	0.1762388	4.07	6.31	6.1	17.52529737
2012	2	18.424617	-2.0033057	0.586737	0.11103196	3.5	6.33	6.016667	17.945193
2012	3	18.183201	-0.2588147	2.8529282	0.09354734	2.93	6.35	5.6	19.07042865
2012	4	20.962651	4.5781438	-194.8522403	-0.14064082	2.67	6.24	5.6	14.49413194
2013	1	16.36833	-3.6849383	2.7868662	0.18132038	2.36	6.22	5.6	15.57882161
2013	2	17.82068	-1.9951051	1.2734793	0.12854999	2.4	6.15	5.6	15.26833409
2013	3	18.210468	0.3268338	3.3174946	0.08103774	2.48	6.13	5.6	14.46348577
2013	4	21.094749	5.0721448	24.0941404	-0.19036721	2.62	6.09	5.6	14.03099259
2014	1	16.602673	-3.2768066	2.7753607	0.17577826	2.33	6.1	5.6	12.865347
2014	2	18.78624	-1.0688211	1.2170988	0.10692762	2.22	6.23	5.6	13.79200024
2014	3	19.732004	2.4084342	5.386813	-0.0395213	2.21	6.17	5.6	12.62835459
2014	4	21.670773	9.410433	4.7317671	-0.40116895	2.04	6.15	5.6	11.6766024
2015	1	16.812277	-2.8501343	2.7416015	0.16802384	1.02	6.24	5.516667	10.52284864
2015	2	17.752628	0.1723562	1.0276712	0.08134166	1.27	6.2	5.1	10.13337373
2015	3	18.586586	4.1048126	4.715782	-0.05791243	1.39	6.3	4.683333	13.24902758
2015	4	21.127925	16.7541063	7.5457429	-0.66716983	1.43	6.4	4.35	13.50407781
