year	quarter	DebtAbility	OperAbility	DevelopAbility	EarningAbility	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	-0.5944854	-37.686778	-1.2931462	-0.47549643	2.53	8.28	5.22	14.30920461
2005	2	-0.9980712	-23.619969	0.2247293	-0.3260321	2.43	8.28	5.22	14.8707352
2005	3	-3.144156	-16.478597	-1.5877914	-0.29469415	2.1	8.13	5.22	17.19476822
2005	4	0.6719688	-18.704125	-0.3416942	-0.25235066	1.83	8.07	5.22	18.09123087
2006	1	-11.0580016	-28.414116	2.5425378	-0.33388589	1.5	8.05	5.22	17.51718278
2006	2	-14.8674083	-21.409993	-0.6107909	-0.09707547	1.23	8.01	5.4	17.38256767
2006	3	-13.4081738	-13.430353	-1.7145606	-0.0760274	1.23	7.96	5.52	16.32614112
2006	4	-0.9121502	-22.306865	-7.9154411	-0.25416034	1.37	7.86	5.58	15.60622221
2007	1	5.2932155	-39.188606	-1.5966744	-0.75152302	2.43	7.76	5.61	16.94836817
2007	2	4.5496193	-34.162361	-1.7788358	-0.75137445	2.97	7.68	5.79	16.96535471
2007	3	5.2713115	-30.31585	24.8756792	-0.98968082	3.83	7.56	6.24	18.34050682
2007	4	3.1058477	-17.27593	-4.0704432	-0.52814383	4.6	7.43	6.51	17.87054535
2008	1	7.640166	-41.546214	-2.8018883	-1.37877464	7.67	7.16	6.57	17.47019444
2008	2	7.8905002	-37.533239	-0.724853	-1.70802646	8.07	6.96	6.57	17.38303282
2008	3	8.8290753	-36.058454	-0.2386921	-2.37858413	7.33	6.84	6.45	15.79803171
2008	4	-0.8601136	10.05391	-9.4920901	0.72088597	6.3	6.84	5.31	15.83323959
2009	1	3.6580779	-31.108635	-1.8746957	-0.70244221	0.03	6.84	4.86	21.51701359
2009	2	1.7127608	26.993073	-16.8166704	0.34422651	-0.93	6.83	4.86	26.66699371
2009	3	0.8539024	59.569774	-0.6509586	1.44769664	-1.17	6.83	4.86	28.71429551
2009	4	0.8250991	102.582649	-1.5364815	1.85800923	-0.9	6.83	4.86	29.1668298
2010	1	-11.7568636	18.087824	4.6932293	1.56410671	1.93	6.83	4.86	24.66034388
2010	2	-5.102308	30.988829	-1.8447052	1.53584266	2.5	6.82	4.86	20.27998732
2010	3	-1.1983352	30.475939	130.5748922	1.05402734	2.8	6.77	4.86	18.60427965
2010	4	-2.1915894	100.878796	-3.8727089	1.83369946	3.17	6.65	5.183333	19.22971745
2011	1	6.7257734	-34.171336	-1.9737887	-0.81725154	4.93	6.58	5.516667	16.55746923
2011	2	0.5961438	-11.775752	-9.7923605	-0.20230117	5.23	6.5	5.85	15.43661454
2011	3	-0.4412346	-2.924417	-1.2399562	0.19132465	5.6	6.42	6.1	13.7584146
2011	4	-3.0224534	27.285419	2.3634441	1.51158662	5.5	6.36	6.1	16.75804914
2012	1	3.4657532	-35.087297	-1.8417087	-0.61370513	4.07	6.31	6.1	17.52529737
2012	2	4.0677475	-28.815858	-54.2310718	-0.90023892	3.5	6.33	6.016667	17.945193
2012	3	4.2290506	-22.534141	-0.8462585	-1.14767991	2.93	6.35	5.6	19.07042865
2012	4	1.688439	38.993079	-10.7844375	0.59957204	2.67	6.24	5.6	14.49413194
2013	1	3.1347051	-8.398524	-1.7598383	-0.55023993	2.36	6.22	5.6	15.57882161
2013	2	3.6273869	9.324377	-1.9997757	-0.6955024	2.4	6.15	5.6	15.26833409
2013	3	3.6649266	28.013197	-1.0938381	-0.78790953	2.48	6.13	5.6	14.46348577
2013	4	0.8688981	76.367993	11.962865	0.67789679	2.62	6.09	5.6	14.03099259
2014	1	-7.0554421	-27.119801	-0.9735995	0.52103954	2.33	6.1	5.6	12.865347
2014	2	-1.8096952	-11.926213	-1.4930761	0.5115913	2.22	6.23	5.6	13.79200024
2014	3	0.9343703	4.324939	-6.336079	0.10214076	2.21	6.17	5.6	12.62835459
2014	4	-3.2245927	61.865426	-6.1724333	1.85256661	2.04	6.15	5.6	11.6766024
2015	1	2.8173266	-35.798202	-1.9670974	-0.61363796	1.02	6.24	5.516667	10.52284864
2015	2	-2.1494585	-11.208669	0.6940828	0.08725265	1.27	6.2	5.1	10.13337373
2015	3	3.4288176	6.671433	-6.3962613	-0.62701081	1.39	6.3	4.683333	13.24902758
2015	4	-5.7563507	46.523638	-8.2667576	1.8402838	1.43	6.4	4.35	13.50407781
