year	quarter	DebtAbility	OperAbility	DevelopAbility	EarningAbility	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	7.092053	-11.453908	-1.05	-0.0261529	2.53	8.28	5.22	14.30920461
2005	2	-139.77739	-6.895336	8.28	0.24974103	2.43	8.28	5.22	14.8707352
2005	3	770.52923	1.358268	-1.26	0.60493035	2.1	8.13	5.22	17.19476822
2005	4	-115.615866	2.231505	-1.04	0.98774114	1.83	8.07	5.22	18.09123087
2006	1	-1899.390284	-13.209663	0.466	-0.02830713	1.5	8.05	5.22	17.51718278
2006	2	22.177058	-9.057321	0.172	-0.03328195	1.23	8.01	5.4	17.38256767
2006	3	41.731259	-6.344692	4.47	-0.01422326	1.23	7.96	5.52	16.32614112
2006	4	40.599263	-1.45759	1.5	-0.03560312	1.37	7.86	5.58	15.60622221
2007	1	51.9315	-14.067906	4.13	0.07862916	2.43	7.76	5.61	16.94836817
2007	2	134.876698	-10.595611	-13.3	0.79570497	2.97	7.68	5.79	16.96535471
2007	3	-24.601287	-7.042833	-1.2	1.73235155	3.83	7.56	6.24	18.34050682
2007	4	23.50772	-1.039415	-0.0403	2.09076555	4.6	7.43	6.51	17.87054535
2008	1	42.569179	-14.872618	-0.204	0.1814178	7.67	7.16	6.57	17.47019444
2008	2	44.2471	-11.653826	0.673	0.13485102	8.07	6.96	6.57	17.38303282
2008	3	41.357792	-7.660672	3.69	0.25844901	7.33	6.84	6.45	15.79803171
2008	4	26.363391	-5.455159	-5.6	0.877699	6.3	6.84	5.31	15.83323959
2009	1	60.389909	-11.855337	0.159	0.12106357	0.03	6.84	4.86	21.51701359
2009	2	80.073176	-3.51426	-1.29	0.25189108	-0.93	6.83	4.86	26.66699371
2009	3	87.198939	9.329962	0.184	0.26113548	-1.17	6.83	4.86	28.71429551
2009	4	39.483135	15.571514	31.8	-0.08957627	-0.9	6.83	4.86	29.1668298
2010	1	26.07526	-7.217422	-0.0555	-0.02916084	1.93	6.83	4.86	24.66034388
2010	2	42.188353	2.921737	-0.94	-0.07930602	2.5	6.82	4.86	20.27998732
2010	3	44.167547	11.32465	-4.9	-0.24179075	2.8	6.77	4.86	18.60427965
2010	4	34.338826	20.096576	-0.704	-0.410501	3.17	6.65	5.183333	19.22971745
2011	1	14.650551	-13.373543	-2.37	-0.19686312	4.93	6.58	5.516667	16.55746923
2011	2	-9.825814	-8.723777	-0.72	-0.36961589	5.23	6.5	5.85	15.43661454
2011	3	39.865716	-1.192342	-0.693	-0.50409727	5.6	6.42	6.1	13.7584146
2011	4	35.295835	6.88533	-0.782	-0.65090065	5.5	6.36	6.1	16.75804914
2012	1	-0.19486	-9.433545	-1.15	-0.15057168	4.07	6.31	6.1	17.52529737
2012	2	28.295932	1.184186	-1.89	-0.43793696	3.5	6.33	6.016667	17.945193
2012	3	22.210336	18.102463	-0.58	-0.6430016	2.93	6.35	5.6	19.07042865
2012	4	29.923652	40.127306	-0.456	-0.71880073	2.67	6.24	5.6	14.49413194
2013	1	19.597891	-5.265569	-0.748	-0.08819362	2.36	6.22	5.6	15.57882161
2013	2	28.943837	8.185462	-1.45	-0.23916713	2.4	6.15	5.6	15.26833409
2013	3	32.671741	18.544807	-0.778	-0.35374016	2.48	6.13	5.6	14.46348577
2013	4	25.847411	31.405559	-2.49	-0.6560058	2.62	6.09	5.6	14.03099259
2014	1	75.999918	-9.345282	-0.308	-0.12204764	2.33	6.1	5.6	12.865347
2014	2	-2.696101	-3.60199	-1.03	-0.26947774	2.22	6.23	5.6	13.79200024
2014	3	20.720596	6.309655	-0.747	-0.40368323	2.21	6.17	5.6	12.62835459
2014	4	29.463566	10.832707	-2.53	-0.70629123	2.04	6.15	5.6	11.6766024
2015	1	42.958213	-12.863745	0.00077	-0.07068771	1.02	6.24	5.516667	10.52284864
2015	2	40.164077	-5.440692	-1.4	-0.18533039	1.27	6.2	5.1	10.13337373
2015	3	39.46092	-1.781801	-0.839	-0.29541476	1.39	6.3	4.683333	13.24902758
2015	4	5.134023	10.004169	-2.93	-0.57664016	1.43	6.4	4.35	13.50407781
